                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7263,                 2.7254,                  1.637,                0.46336,                0.39905,                0.40379,                0.16344,                 1.9554,                  2.227,                 1.7766,               0.067372,             0.00041301,             0.00041301
                      2,                 1.6233,                 1.5953,                 1.6146,                0.62812,                0.58306,                0.60513,                0.25772,                  1.944,                 1.5058,                 1.6585,               0.034455,              0.0008294,              0.0008294
                      3,                  1.593,                 1.4011,                 1.6028,                0.64794,                0.58577,                0.63314,                0.29891,                 1.7834,                 1.6787,                 1.6126,              0.0015379,              0.0012455,              0.0012455
                      4,                 1.5599,                 1.3436,                 1.5864,                0.65009,                0.61804,                0.65876,                 0.2743,                 2.0163,                 1.5111,                 1.6912,              0.0012488,              0.0012488,              0.0012488
                      5,                 1.5082,                 1.2254,                 1.5416,                0.71236,                0.64693,                0.69495,                0.35895,                 1.6344,                 1.2371,                 1.4853,              0.0012488,              0.0012488,              0.0012488
                      6,                 1.4846,                 1.1661,                  1.534,                0.73934,                0.63809,                0.71028,                0.39749,                 1.5282,                 1.2426,                 1.4313,              0.0012484,              0.0012484,              0.0012484
                      7,                 1.4549,                 1.1049,                 1.4995,                0.77819,                0.70404,                0.77939,                0.40079,                 1.6976,                 1.0675,                 1.5286,              0.0012479,              0.0012479,              0.0012479
                      8,                  1.427,                 1.0725,                 1.4828,                0.75983,                0.69501,                0.76016,                0.39791,                 1.6035,                 1.0996,                 1.4537,              0.0012475,              0.0012475,              0.0012475
                      9,                 1.4088,                 1.0275,                 1.4726,                0.76878,                0.71089,                0.77147,                0.43489,                 1.5081,                 1.0268,                 1.4024,              0.0012471,              0.0012471,              0.0012471
                     10,                 1.3946,                0.98872,                 1.4637,                0.78219,                 0.7105,                0.78021,                0.39639,                 1.6706,                  1.011,                 1.5096,              0.0012467,              0.0012467,              0.0012467
                     11,                 1.3775,                0.96333,                 1.4503,                0.80215,                0.74801,                0.81713,                0.45717,                 1.4931,                0.92827,                 1.3826,              0.0012463,              0.0012463,              0.0012463
                     12,                 1.3757,                0.95142,                 1.4428,                0.83583,                  0.753,                0.81923,                0.43726,                 1.6233,                0.91871,                 1.4541,              0.0012459,              0.0012459,              0.0012459
                     13,                 1.3571,                0.92053,                 1.4316,                 0.8193,                0.76938,                0.83624,                0.46745,                 1.4981,                0.88018,                 1.3847,              0.0012455,              0.0012455,              0.0012455
                     14,                 1.3494,                0.90822,                 1.4235,                0.82938,                0.76765,                0.83261,                0.47276,                  1.475,                0.85971,                 1.3582,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.3341,                0.88793,                 1.4088,                0.82316,                0.77444,                0.82615,                0.39663,                  1.767,                0.89141,                 1.5604,              0.0012446,              0.0012446,              0.0012446
                     16,                 1.3358,                0.87842,                 1.4128,                0.83262,                0.79118,                0.84486,                0.49551,                 1.3992,                0.80647,                 1.3315,              0.0012442,              0.0012442,              0.0012442
                     17,                 1.3333,                0.86761,                 1.4053,                0.83545,                0.80559,                0.85297,                0.49378,                 1.4181,                0.79167,                 1.3252,              0.0012438,              0.0012438,              0.0012438
                     18,                 1.3156,                0.85377,                 1.3918,                0.86459,                0.78441,                0.85014,                0.49861,                 1.3809,                0.79418,                 1.3123,              0.0012434,              0.0012434,              0.0012434
                     19,                 1.3086,                0.83452,                 1.3849,                0.83721,                0.77343,                 0.8414,                0.47676,                 1.4655,                0.81443,                 1.3517,               0.001243,               0.001243,               0.001243
                     20,                 1.3014,                0.82763,                  1.379,                0.85242,                0.80008,                 0.8645,                0.49529,                 1.4156,                0.77199,                 1.3292,              0.0012426,              0.0012426,              0.0012426
                     21,                 1.2892,                0.81624,                  1.375,                0.82844,                0.79953,                0.85573,                0.48433,                 1.4655,                0.80362,                  1.364,              0.0012422,              0.0012422,              0.0012422
                     22,                 1.2786,                0.80515,                 1.3714,                 0.8514,                0.82565,                0.87387,                0.52171,                 1.3766,                0.74969,                 1.2996,              0.0012418,              0.0012418,              0.0012418
                     23,                 1.2758,                0.80386,                 1.3649,                0.88767,                0.80518,                0.87842,                0.48667,                 1.5121,                0.75969,                  1.377,              0.0012413,              0.0012413,              0.0012413
                     24,                 1.2741,                0.79054,                 1.3693,                   0.84,                0.80487,                0.86124,                0.48375,                 1.4837,                0.77098,                 1.3714,              0.0012409,              0.0012409,              0.0012409
                     25,                 1.2639,                0.78473,                 1.3561,                0.86913,                0.80188,                 0.8691,                0.51012,                 1.3958,                 0.7514,                 1.3104,              0.0012405,              0.0012405,              0.0012405
