                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0685,                0.76271,                 1.0729,                0.91066,                0.89436,                0.93387,                0.63242,                 1.1756,                0.78729,                 1.0841,               0.066928,              0.0001829,              0.0001829
                      2,                0.98646,                0.66794,                 1.0197,                0.92854,                0.92345,                0.95918,                0.71262,                0.99156,                  0.635,                0.98317,               0.033778,             0.00036623,             0.00036623
                      3,                0.94008,                0.60904,                0.99447,                0.95759,                0.94483,                0.97422,                0.73368,                0.95945,                0.56286,                0.96883,             0.00062837,             0.00054957,             0.00054957
                      4,                0.92191,                0.57615,                0.98452,                0.95237,                0.94939,                0.97745,                0.74726,                0.91879,                0.54299,                0.94836,                0.00055,                0.00055,                0.00055
                      5,                0.91652,                0.56507,                0.97802,                0.95574,                0.95521,                0.97947,                0.73808,                 0.9695,                0.54191,                0.96216,                0.00055,                0.00055,                0.00055
                      6,                0.91348,                0.55787,                0.97692,                  0.955,                0.95568,                0.98092,                0.74543,                0.94076,                0.53115,                0.95598,                0.00055,                0.00055,                0.00055
                      7,                0.90613,                0.54904,                0.97447,                0.95946,                0.95772,                0.98144,                0.74519,                0.93704,                0.53029,                0.95329,                0.00055,                0.00055,                0.00055
                      8,                0.90885,                0.54732,                  0.974,                0.96556,                0.95315,                0.98209,                0.74259,                0.95852,                0.53207,                0.96331,             0.00054999,             0.00054999,             0.00054999
                      9,                0.90184,                0.54326,                0.96931,                0.96056,                0.95852,                0.98291,                 0.7385,                0.97082,                0.53271,                0.97044,             0.00054999,             0.00054999,             0.00054999
                     10,                0.90202,                 0.5409,                0.97006,                0.96776,                 0.9536,                0.98383,                0.75292,                0.91673,                0.51686,                0.94393,             0.00054999,             0.00054999,             0.00054999
                     11,                0.89808,                 0.5395,                0.96575,                0.96234,                0.96061,                0.98399,                0.74644,                0.95428,                0.52189,                0.95989,             0.00054999,             0.00054999,             0.00054999
                     12,                0.89633,                 0.5342,                0.96274,                0.95858,                0.96003,                0.98325,                0.74751,                0.93882,                0.52103,                0.95225,             0.00054999,             0.00054999,             0.00054999
