                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2824,                 6.4553,                 3.7479,                0.04329,                0.10113,                0.05216,                0.02274,                   3.37,                 7.1975,                 3.7595,                0.06712,             0.00024847,             0.00024847
                      2,                 2.7332,                 4.6314,                 3.1841,                0.22862,                0.15142,                0.13322,                0.05867,                 2.6056,                  4.476,                 3.0101,               0.034036,             0.00049847,             0.00049847
                      3,                 2.3845,                   3.96,                 2.8613,                0.37005,                0.28058,                0.23457,                0.09076,                 2.4576,                 3.6848,                 2.9091,             0.00095296,             0.00074846,             0.00074846
                      4,                 2.1673,                  3.528,                 2.6346,                0.37671,                0.31634,                 0.2903,                0.13314,                 2.2172,                 3.4291,                 2.6275,                0.00075,                0.00075,                0.00075
                      5,                 2.0406,                 3.2335,                 2.4932,                0.44251,                0.37842,                0.37212,                0.18716,                 1.9553,                 2.8922,                 2.3627,                0.00075,                0.00075,                0.00075
                      6,                 1.9635,                 3.0298,                 2.4012,                0.48509,                0.40119,                0.40418,                0.20235,                 1.9438,                 2.7834,                 2.3188,             0.00074999,             0.00074999,             0.00074999
                      7,                 1.9124,                 2.8895,                 2.3384,                 0.5041,                0.43909,                0.45323,                0.22175,                 1.9216,                  2.615,                 2.3018,             0.00074999,             0.00074999,             0.00074999
                      8,                 1.8606,                 2.7493,                 2.2801,                0.51699,                0.48494,                0.47883,                0.23372,                 1.9028,                 2.5737,                  2.261,             0.00074998,             0.00074998,             0.00074998
                      9,                 1.8111,                 2.6394,                 2.2406,                0.54184,                0.46347,                0.48115,                 0.2369,                 1.8839,                  2.545,                 2.2503,             0.00074998,             0.00074998,             0.00074998
                     10,                 1.7872,                 2.5388,                 2.2097,                0.56491,                0.51487,                0.53755,                0.27505,                 1.7701,                 2.3031,                 2.1339,             0.00074997,             0.00074997,             0.00074997
                     11,                 1.7515,                 2.4553,                 2.1699,                0.60699,                0.52798,                0.56327,                0.28038,                 1.8154,                 2.2584,                 2.1621,             0.00074996,             0.00074996,             0.00074996
                     12,                 1.7356,                  2.379,                 2.1361,                0.62997,                0.52553,                0.56936,                0.28475,                 1.7676,                 2.1821,                 2.1215,             0.00074995,             0.00074995,             0.00074995
                     13,                 1.7115,                  2.312,                 2.1213,                0.62659,                0.52578,                0.56886,                0.28005,                 1.8402,                  2.256,                 2.1747,             0.00074994,             0.00074994,             0.00074994
                     14,                 1.6937,                 2.2633,                 2.0952,                0.63584,                0.56556,                0.60353,                0.31978,                 1.7102,                 2.0682,                 2.0459,             0.00074993,             0.00074993,             0.00074993
                     15,                  1.679,                 2.2013,                 2.0733,                0.66556,                0.58927,                0.63542,                0.32887,                 1.7026,                 2.0112,                 2.0248,             0.00074992,             0.00074992,             0.00074992
                     16,                 1.6548,                 2.1486,                 2.0467,                 0.6623,                0.57211,                0.62202,                0.31672,                 1.7395,                 2.0572,                  2.046,             0.00074991,             0.00074991,             0.00074991
                     17,                 1.6445,                 2.1136,                 2.0284,                0.68691,                0.58579,                0.64323,                 0.3354,                 1.6896,                 1.9773,                 2.0112,              0.0007499,              0.0007499,              0.0007499
                     18,                 1.6328,                 2.0665,                 2.0161,                0.69198,                0.61922,                0.66609,                0.36005,                 1.6031,                 1.8754,                 1.9388,             0.00074988,             0.00074988,             0.00074988
                     19,                  1.623,                   2.02,                 2.0001,                0.71917,                0.60924,                0.67688,                0.35898,                 1.6486,                 1.8526,                 1.9677,             0.00074987,             0.00074987,             0.00074987
                     20,                 1.6047,                 1.9832,                 1.9874,                0.70238,                0.62053,                 0.6752,                0.35698,                 1.6429,                 1.8563,                 1.9649,             0.00074985,             0.00074985,             0.00074985
                     21,                 1.5972,                 1.9512,                 1.9674,                 0.7356,                0.61834,                0.69236,                0.37525,                 1.6008,                 1.8139,                 1.9142,             0.00074983,             0.00074983,             0.00074983
                     22,                 1.5797,                 1.9073,                 1.9578,                0.76064,                0.62332,                0.70199,                0.37435,                 1.6212,                 1.7715,                 1.9306,             0.00074982,             0.00074982,             0.00074982
                     23,                 1.5757,                 1.8887,                 1.9522,                 0.7326,                0.61944,                0.69314,                0.36537,                 1.6353,                 1.8181,                 1.9497,              0.0007498,              0.0007498,              0.0007498
                     24,                 1.5641,                 1.8568,                 1.9368,                0.74954,                0.64275,                0.71212,                 0.3744,                 1.6197,                 1.7261,                 1.9195,             0.00074978,             0.00074978,             0.00074978
                     25,                 1.5575,                 1.8356,                 1.9288,                0.75256,                 0.6653,                0.73086,                0.39486,                 1.5911,                 1.6897,                 1.8788,             0.00074976,             0.00074976,             0.00074976
                     26,                 1.5548,                 1.8107,                 1.9133,                0.77604,                0.65814,                0.73597,                0.39893,                 1.5791,                 1.6551,                 1.8771,             0.00074974,             0.00074974,             0.00074974
