                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7623,                 5.6869,                 3.2849,                0.00478,                0.01007,                0.00179,                0.00034,                 4.2399,                 8.2005,                 3.2627,               0.067715,             0.00064207,             0.00064207
                      2,                 2.8886,                 3.8099,                 2.3723,                0.05877,                0.16878,                0.05918,                0.01664,                 3.6405,                 6.5856,                 2.9148,               0.035032,              0.0012921,              0.0012921
                      3,                 2.3471,                 3.1366,                 1.9937,                0.29634,                0.21448,                0.20392,                0.08695,                 2.5715,                 3.4536,                 2.0917,              0.0023486,              0.0019421,              0.0019421
                      4,                  2.137,                  2.748,                 1.8332,                0.30702,                 0.2967,                0.24525,                0.10812,                  2.481,                 4.3127,                 2.0597,                0.00195,                0.00195,                0.00195
                      5,                 2.0046,                 2.5072,                 1.7483,                0.43372,                0.37169,                0.33666,                0.15606,                 2.1714,                 2.8342,                 1.8064,                0.00195,                0.00195,                0.00195
                      6,                 1.9205,                 2.3408,                  1.684,                0.46965,                0.34947,                0.35572,                0.15697,                 2.2302,                 2.7669,                 1.8151,                0.00195,                0.00195,                0.00195
                      7,                 1.8701,                 2.2257,                 1.6461,                0.52456,                0.42909,                0.44303,                0.21455,                 1.9427,                 2.3354,                 1.6257,                0.00195,                0.00195,                0.00195
                      8,                  1.809,                 2.1032,                 1.6024,                0.57056,                 0.4523,                0.48099,                0.22843,                 1.9434,                 2.1496,                 1.6128,                0.00195,                0.00195,                0.00195
                      9,                 1.7644,                 2.0115,                 1.5803,                0.51541,                0.40918,                0.43561,                0.21077,                 1.9161,                 2.2571,                 1.6155,                0.00195,                0.00195,                0.00195
                     10,                 1.7375,                 1.9442,                  1.563,                 0.5615,                0.48578,                0.49519,                0.23547,                 1.8993,                 2.0802,                 1.6121,                0.00195,                0.00195,                0.00195
                     11,                   1.71,                 1.8624,                 1.5387,                0.60541,                0.49298,                0.52617,                0.25709,                 1.8471,                  1.955,                 1.5618,                0.00195,                0.00195,                0.00195
                     12,                 1.6837,                 1.8101,                  1.515,                0.60086,                0.48834,                0.52588,                 0.2565,                 1.8611,                 1.9576,                 1.5687,                0.00195,                0.00195,                0.00195
                     13,                 1.6579,                 1.7626,                 1.5074,                0.68449,                0.55138,                0.61442,                 0.3117,                 1.6998,                  1.726,                  1.468,                0.00195,                0.00195,                0.00195
                     14,                 1.6488,                 1.7273,                 1.4927,                0.68882,                0.58371,                0.63347,                0.32428,                 1.7123,                  1.681,                 1.4726,              0.0019499,              0.0019499,              0.0019499
                     15,                 1.6234,                 1.6779,                  1.475,                0.66168,                0.55856,                0.61136,                0.30867,                 1.7346,                 1.7176,                 1.4966,              0.0019499,              0.0019499,              0.0019499
                     16,                 1.6149,                 1.6408,                 1.4696,                0.72385,                0.62534,                0.68066,                0.35134,                 1.6641,                 1.5221,                   1.44,              0.0019499,              0.0019499,              0.0019499
                     17,                 1.6017,                 1.6086,                  1.463,                0.71128,                0.60772,                0.66451,                0.32979,                 1.7551,                 1.5816,                 1.4782,              0.0019499,              0.0019499,              0.0019499
                     18,                 1.5864,                 1.5797,                   1.45,                0.71954,                0.60601,                0.67181,                0.35337,                 1.6387,                 1.5583,                 1.4239,              0.0019499,              0.0019499,              0.0019499
                     19,                 1.5792,                 1.5677,                 1.4437,                0.73026,                0.60763,                 0.6732,                0.35007,                 1.6736,                 1.5621,                 1.4466,              0.0019499,              0.0019499,              0.0019499
                     20,                 1.5637,                 1.5297,                 1.4336,                0.73947,                0.64079,                0.70134,                0.37012,                 1.6122,                 1.4506,                 1.4031,              0.0019499,              0.0019499,              0.0019499
