                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0777,                 1.1198,                0.86792,                0.86702,                0.80163,                0.87389,                0.51924,                 1.3501,                0.93018,                0.90354,               0.067221,             0.00014817,             0.00014817
                      2,                 1.0428,                0.78962,                0.85038,                0.92796,                0.85817,                0.92431,                0.63292,                 1.0228,                0.70232,                0.78923,               0.034038,             0.00029817,             0.00029817
                      3,                 1.0348,                0.71412,                0.84911,                0.92932,                 0.8824,                0.93517,                0.64934,                0.99264,                0.63951,                0.78113,             0.00085467,             0.00044817,             0.00044817
                      4,                 1.0249,                0.67607,                0.84171,                0.93616,                0.89713,                0.94132,                0.64512,                 1.0246,                0.62029,                0.78736,                0.00045,                0.00045,                0.00045
                      5,                  1.021,                0.66085,                0.84302,                0.94146,                  0.892,                0.94189,                0.65918,                0.99173,                0.61062,                0.78018,                0.00045,                0.00045,                0.00045
                      6,                  1.023,                0.65067,                0.84426,                0.93928,                0.88294,                0.93904,                0.63561,                 1.0645,                0.62267,                0.79957,             0.00044999,             0.00044999,             0.00044999
                      7,                 1.0251,                0.64768,                0.84098,                0.94196,                0.88959,                0.94165,                0.63806,                 1.0887,                0.62729,                0.80617,             0.00044999,             0.00044999,             0.00044999
                      8,                 1.0223,                0.64104,                 0.8412,                0.94862,                0.89297,                 0.9446,                0.65844,                 1.0029,                0.59777,                0.78405,             0.00044999,             0.00044999,             0.00044999
                      9,                  1.019,                0.63463,                0.84016,                0.94717,                0.89288,                0.94414,                0.65666,                  1.008,                0.60022,                0.78609,             0.00044998,             0.00044998,             0.00044998
                     10,                 1.0165,                0.63045,                0.84145,                0.93468,                0.89645,                0.94143,                0.64531,                 1.0416,                0.60729,                0.79549,             0.00044998,             0.00044998,             0.00044998
                     11,                 1.0198,                0.63219,                0.84097,                0.94576,                0.89087,                0.94326,                0.65207,                 1.0181,                0.60116,                0.78991,             0.00044997,             0.00044997,             0.00044997
                     12,                 1.0187,                0.62774,                0.83825,                0.94168,                0.89057,                0.94304,                0.65001,                 1.0438,                0.60361,                0.79839,             0.00044997,             0.00044997,             0.00044997
                     13,                 1.0177,                0.62767,                0.84106,                0.94314,                 0.8901,                0.94166,                0.64471,                 1.0655,                0.60504,                0.80131,             0.00044996,             0.00044996,             0.00044996
                     14,                 1.0186,                 0.6241,                0.83987,                0.94504,                0.89023,                0.94329,                0.64544,                 1.0523,                0.60268,                0.79784,             0.00044995,             0.00044995,             0.00044995
                     15,                 1.0181,                0.62439,                0.84041,                 0.9358,                0.89702,                0.94013,                0.64385,                  1.058,                0.60344,                0.79579,             0.00044994,             0.00044994,             0.00044994
                     16,                 1.0141,                0.62227,                0.83727,                0.93813,                0.89415,                0.94321,                0.65499,                 1.0122,                0.58905,                0.78702,             0.00044993,             0.00044993,             0.00044993
                     17,                 1.0183,                 0.6229,                 0.8409,                0.94113,                0.89574,                0.94326,                0.64506,                 1.0538,                0.59805,                0.79648,             0.00044992,             0.00044992,             0.00044992
                     18,                 1.0166,                0.62098,                0.84063,                0.93483,                0.90209,                0.94257,                0.65035,                 1.0322,                0.59593,                0.79326,             0.00044991,             0.00044991,             0.00044991
                     19,                 1.0158,                0.61877,                0.84024,                0.93677,                0.89731,                0.94141,                0.65108,                 1.0264,                0.59767,                0.79347,              0.0004499,              0.0004499,              0.0004499
                     20,                 1.0155,                 0.6172,                0.84035,                0.94261,                0.89168,                 0.9416,                0.64615,                 1.0533,                0.60108,                0.79711,             0.00044989,             0.00044989,             0.00044989
                     21,                 1.0149,                0.61913,                0.83749,                 0.9399,                0.89878,                 0.9449,                0.65142,                 1.0483,                0.59356,                0.79437,             0.00044988,             0.00044988,             0.00044988
                     22,                 1.0136,                0.61749,                0.84001,                0.93525,                0.90051,                 0.9433,                0.64725,                 1.0526,                0.59452,                0.79688,             0.00044986,             0.00044986,             0.00044986
                     23,                 1.0121,                 0.6132,                0.83855,                0.93928,                0.89609,                 0.9417,                0.64896,                 1.0402,                0.59593,                0.79517,             0.00044985,             0.00044985,             0.00044985
                     24,                 1.0102,                0.61295,                0.83686,                0.94033,                0.89767,                0.94361,                0.65494,                 1.0281,                0.59277,                0.79107,             0.00044984,             0.00044984,             0.00044984
                     25,                 1.0103,                0.61386,                0.83949,                0.93719,                0.89854,                0.94229,                0.65435,                 1.0336,                0.59151,                 0.7916,             0.00044982,             0.00044982,             0.00044982
                     26,                 1.0133,                0.61291,                0.83776,                 0.9346,                0.89706,                0.94315,                0.65342,                 1.0334,                0.59271,                 0.7937,              0.0004498,              0.0004498,              0.0004498
                     27,                 1.0134,                0.61548,                0.83988,                 0.9415,                0.89832,                0.94486,                0.65615,                 1.0291,                0.58991,                0.79239,             0.00044979,             0.00044979,             0.00044979
                     28,                 1.0088,                0.60983,                0.83641,                0.94783,                0.89238,                0.94373,                0.65959,                 1.0147,                0.58726,                0.78728,             0.00044977,             0.00044977,             0.00044977
                     29,                 1.0098,                0.61015,                 0.8376,                0.93118,                0.90023,                0.94261,                0.65095,                 1.0479,                0.59497,                0.79783,             0.00044975,             0.00044975,             0.00044975
                     30,                 1.0028,                0.60821,                 0.8367,                0.93379,                0.90416,                0.94434,                0.65844,                 1.0214,                0.58687,                 0.7899,             0.00044973,             0.00044973,             0.00044973
                     31,                 1.0098,                0.60994,                0.83712,                0.93853,                0.89125,                  0.941,                0.65222,                 1.0415,                0.59428,                0.79636,             0.00044971,             0.00044971,             0.00044971
                     32,                 1.0126,                0.61082,                0.83656,                 0.9427,                0.89078,                0.94303,                0.65433,                 1.0349,                0.59226,                0.79348,             0.00044969,             0.00044969,             0.00044969
                     33,                 1.0108,                0.61012,                0.83636,                0.93625,                0.90129,                0.94376,                0.65683,                 1.0311,                0.58944,                0.79279,             0.00044967,             0.00044967,             0.00044967
                     34,                 1.0054,                0.60799,                0.83805,                0.93842,                0.89708,                0.94188,                0.64951,                  1.041,                 0.5926,                0.79531,             0.00044965,             0.00044965,             0.00044965
                     35,                 1.0122,                0.61063,                0.83939,                0.94334,                0.89295,                0.94295,                0.65114,                 1.0494,                0.59322,                0.79645,             0.00044963,             0.00044963,             0.00044963
                     36,                 1.0101,                0.61022,                0.83683,                 0.9456,                0.89253,                0.94352,                0.64954,                 1.0513,                0.59238,                 0.7992,             0.00044961,             0.00044961,             0.00044961
                     37,                 1.0072,                0.60837,                0.83429,                0.93658,                0.89431,                0.94146,                0.64949,                 1.0487,                0.59743,                0.79796,             0.00044958,             0.00044958,             0.00044958
                     38,                 1.0117,                0.60975,                0.83813,                 0.9361,                0.89829,                0.94349,                0.65293,                 1.0419,                0.58862,                0.79514,             0.00044956,             0.00044956,             0.00044956
                     39,                 1.0073,                0.60564,                0.83656,                0.93638,                0.89828,                0.94507,                0.65544,                 1.0329,                0.58689,                0.79246,             0.00044954,             0.00044954,             0.00044954
                     40,                 1.0084,                0.60548,                0.83573,                 0.9335,                0.90006,                0.94237,                0.65359,                 1.0322,                0.58839,                0.79248,             0.00044951,             0.00044951,             0.00044951
                     41,                 1.0068,                0.60685,                0.83525,                0.93665,                0.89753,                0.94237,                0.65256,                 1.0391,                0.58994,                0.79543,             0.00044948,             0.00044948,             0.00044948
                     42,                 1.0042,                0.60634,                0.83481,                0.94157,                0.88804,                0.94158,                0.64636,                 1.0617,                 0.5959,                0.80103,             0.00044946,             0.00044946,             0.00044946
                     43,                 1.0086,                0.60626,                0.83802,                0.93428,                0.89882,                0.94246,                 0.6495,                 1.0595,                 0.5909,                0.79879,             0.00044943,             0.00044943,             0.00044943
                     44,                 1.0075,                0.60566,                0.83755,                0.93349,                0.89808,                0.94243,                0.65026,                 1.0459,                0.59407,                0.79775,              0.0004494,              0.0004494,              0.0004494
                     45,                 1.0071,                0.60576,                0.83481,                0.94483,                 0.8945,                0.94357,                0.65604,                 1.0348,                0.58573,                0.79424,             0.00044937,             0.00044937,             0.00044937
                     46,                 1.0057,                0.60345,                0.83528,                0.93506,                0.90175,                0.94306,                0.65597,                 1.0301,                  0.587,                0.79251,             0.00044934,             0.00044934,             0.00044934
                     47,                 1.0048,                0.60568,                0.83589,                0.94101,                0.89627,                0.94308,                0.65425,                  1.039,                 0.5904,                0.79505,             0.00044931,             0.00044931,             0.00044931
                     48,                 1.0027,                0.60215,                0.83336,                0.93612,                0.89155,                0.94218,                0.65116,                 1.0436,                0.58893,                 0.7963,             0.00044928,             0.00044928,             0.00044928
                     49,                 1.0087,                0.60498,                0.83519,                0.92598,                0.89998,                0.94148,                0.64811,                 1.0491,                0.59136,                0.79741,             0.00044925,             0.00044925,             0.00044925
                     50,                 1.0061,                0.60357,                0.83577,                0.93735,                0.89859,                0.94382,                0.64584,                 1.0673,                0.59308,                0.80195,             0.00044922,             0.00044922,             0.00044922
                     51,                 1.0098,                0.60585,                0.83616,                0.93625,                0.89117,                0.94219,                0.65211,                 1.0472,                0.59011,                0.79784,             0.00044919,             0.00044919,             0.00044919
                     52,                 1.0055,                 0.6041,                0.83572,                0.94338,                0.88501,                0.94242,                0.65538,                 1.0327,                0.58938,                 0.7948,             0.00044915,             0.00044915,             0.00044915
                     53,                 1.0037,                0.60501,                0.83353,                0.93861,                0.89186,                0.94188,                0.65438,                   1.04,                0.58924,                 0.7966,             0.00044912,             0.00044912,             0.00044912
