                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1118,                 1.5475,                 1.0767,                0.84149,                0.76453,                0.84643,                0.48047,                 1.4375,                 1.3389,                 1.1741,                0.06702,             0.00014908,             0.00014908
                      2,                 1.0639,                 1.0646,                 1.0508,                0.92352,                0.86271,                0.92266,                 0.6231,                 1.0412,                0.93618,                 1.0001,               0.033837,             0.00029908,             0.00029908
                      3,                 1.0371,                0.96361,                 1.0381,                0.93456,                0.88246,                0.93496,                0.63492,                 1.0138,                0.87169,                0.99086,             0.00065358,             0.00044908,             0.00044908
                      4,                  1.028,                0.91521,                 1.0304,                0.93211,                0.87799,                0.93607,                0.62631,                 1.0673,                0.87082,                 1.0067,                0.00045,                0.00045,                0.00045
                      5,                 1.0243,                0.89459,                 1.0328,                0.93655,                  0.889,                0.93955,                  0.637,                 1.0326,                0.84611,                0.99683,                0.00045,                0.00045,                0.00045
                      6,                 1.0239,                0.87894,                 1.0322,                0.94716,                0.88107,                0.93702,                0.62981,                 1.0513,                0.84157,                 1.0019,                0.00045,                0.00045,                0.00045
                      7,                 1.0265,                0.87272,                 1.0304,                0.94247,                 0.8879,                 0.9405,                0.63432,                 1.0534,                0.83176,                  1.003,             0.00044999,             0.00044999,             0.00044999
                      8,                 1.0231,                0.86214,                  1.029,                0.94926,                0.88557,                0.94126,                0.63077,                 1.0653,                0.83341,                 1.0057,             0.00044999,             0.00044999,             0.00044999
                      9,                 1.0188,                0.85396,                 1.0297,                0.94229,                0.88822,                 0.9393,                0.63356,                 1.0564,                0.82813,                 1.0035,             0.00044999,             0.00044999,             0.00044999
                     10,                 1.0195,                0.85116,                  1.032,                0.94656,                0.89066,                0.94365,                 0.6442,                 1.0246,                0.81299,                0.99365,             0.00044998,             0.00044998,             0.00044998
                     11,                 1.0182,                0.84724,                 1.0276,                0.94592,                0.89184,                0.94361,                0.63752,                 1.0577,                0.81658,                 1.0008,             0.00044998,             0.00044998,             0.00044998
                     12,                 1.0193,                0.84759,                 1.0279,                0.94257,                 0.8929,                0.94389,                0.64123,                  1.041,                 0.8103,                0.99925,             0.00044997,             0.00044997,             0.00044997
                     13,                 1.0153,                0.83914,                 1.0291,                0.94264,                0.88878,                0.94278,                0.63868,                 1.0529,                0.81588,                 1.0046,             0.00044997,             0.00044997,             0.00044997
                     14,                 1.0201,                0.83789,                 1.0302,                 0.9507,                0.89028,                 0.9443,                0.64508,                 1.0363,                0.80355,                0.99863,             0.00044996,             0.00044996,             0.00044996
                     15,                 1.0163,                0.83564,                 1.0269,                0.94961,                0.88495,                  0.942,                0.63635,                 1.0535,                0.81224,                 1.0045,             0.00044995,             0.00044995,             0.00044995
                     16,                  1.014,                0.83172,                 1.0254,                 0.9453,                0.88995,                0.94383,                0.63894,                 1.0564,                  0.807,                 1.0049,             0.00044995,             0.00044995,             0.00044995
                     17,                 1.0168,                0.83259,                 1.0277,                 0.9474,                  0.886,                0.94165,                0.64393,                 1.0403,                0.80895,                0.99862,             0.00044994,             0.00044994,             0.00044994
                     18,                 1.0184,                0.83325,                 1.0282,                0.94672,                 0.8889,                0.94402,                0.64621,                 1.0337,                0.79563,                0.99666,             0.00044993,             0.00044993,             0.00044993
                     19,                 1.0163,                0.82943,                 1.0237,                0.94901,                0.88507,                0.94144,                0.64051,                 1.0533,                0.80522,                 1.0038,             0.00044992,             0.00044992,             0.00044992
                     20,                 1.0106,                0.82261,                 1.0251,                0.95793,                0.88403,                0.94399,                0.64253,                 1.0487,                0.79996,                 1.0009,             0.00044991,             0.00044991,             0.00044991
                     21,                 1.0145,                0.82797,                 1.0243,                0.93794,                0.89534,                0.94224,                 0.6451,                 1.0349,                0.79443,                 0.9981,              0.0004499,              0.0004499,              0.0004499
                     22,                 1.0115,                0.82228,                 1.0252,                0.94141,                0.89576,                 0.9443,                0.64536,                   1.03,                 0.7919,                0.99521,             0.00044989,             0.00044989,             0.00044989
                     23,                 1.0137,                0.82404,                 1.0276,                0.95183,                0.88814,                0.94682,                 0.6443,                 1.0437,                0.79227,                0.99936,             0.00044988,             0.00044988,             0.00044988
                     24,                 1.0133,                0.82077,                 1.0255,                0.94323,                0.89455,                0.94407,                0.64269,                  1.044,                0.79813,                  1.001,             0.00044987,             0.00044987,             0.00044987
                     25,                 1.0123,                0.82052,                 1.0268,                0.95031,                0.88638,                0.94302,                0.64086,                 1.0585,                0.80578,                 1.0042,             0.00044985,             0.00044985,             0.00044985
                     26,                 1.0142,                0.82284,                  1.025,                 0.9519,                0.88333,                0.94499,                0.64373,                 1.0508,                0.79948,                 1.0011,             0.00044984,             0.00044984,             0.00044984
                     27,                 1.0105,                0.81643,                 1.0248,                0.94189,                0.88934,                0.94341,                 0.6425,                  1.053,                0.80087,                 1.0047,             0.00044983,             0.00044983,             0.00044983
                     28,                 1.0085,                0.81641,                 1.0213,                0.95179,                0.88364,                0.94365,                0.63932,                 1.0597,                0.80626,                 1.0055,             0.00044981,             0.00044981,             0.00044981
                     29,                 1.0079,                0.81546,                 1.0232,                0.95155,                0.88943,                0.94538,                0.64501,                 1.0508,                 0.7968,                 1.0026,              0.0004498,              0.0004498,              0.0004498
                     30,                 1.0103,                0.81348,                  1.028,                0.94804,                0.88696,                 0.9452,                0.64602,                 1.0386,                0.79079,                0.99955,             0.00044978,             0.00044978,             0.00044978
                     31,                 1.0097,                0.81426,                 1.0256,                0.94557,                0.89417,                0.94518,                0.64547,                 1.0412,                0.78738,                 1.0007,             0.00044977,             0.00044977,             0.00044977
                     32,                 1.0054,                0.81063,                  1.022,                0.93881,                0.89411,                0.94377,                0.64684,                 1.0407,                0.79143,                 1.0004,             0.00044975,             0.00044975,             0.00044975
                     33,                 1.0059,                0.81069,                 1.0222,                 0.9532,                0.88427,                0.94541,                0.64302,                 1.0581,                0.79363,                 1.0048,             0.00044974,             0.00044974,             0.00044974
                     34,                 1.0058,                0.81102,                 1.0243,                0.95545,                0.88324,                0.94514,                0.64592,                 1.0425,                0.79012,                0.99978,             0.00044972,             0.00044972,             0.00044972
                     35,                 1.0075,                0.80988,                 1.0221,                0.94375,                0.89031,                0.94468,                0.64195,                 1.0596,                0.79574,                 1.0061,              0.0004497,              0.0004497,              0.0004497
                     36,                 1.0072,                0.80882,                 1.0233,                0.95036,                 0.8862,                0.94583,                0.64804,                 1.0383,                 0.7875,                0.99877,             0.00044968,             0.00044968,             0.00044968
                     37,                 1.0088,                 0.8108,                 1.0243,                 0.9421,                0.89277,                 0.9445,                0.64931,                 1.0365,                0.78379,                0.99807,             0.00044966,             0.00044966,             0.00044966
                     38,                 1.0065,                0.80891,                 1.0226,                0.95012,                0.88774,                0.94526,                0.64619,                 1.0444,                0.79001,                 1.0013,             0.00044964,             0.00044964,             0.00044964
                     39,                  1.002,                0.80372,                 1.0237,                0.94979,                0.88817,                0.94627,                0.64562,                 1.0468,                0.78823,                 1.0008,             0.00044962,             0.00044962,             0.00044962
                     40,                 1.0054,                0.80528,                 1.0204,                0.94306,                0.88973,                0.94305,                0.64333,                 1.0602,                0.79014,                  1.007,              0.0004496,              0.0004496,              0.0004496
                     41,                 1.0033,                0.80545,                  1.024,                0.95072,                0.88721,                0.94523,                 0.6485,                 1.0464,                0.78684,                 1.0016,             0.00044958,             0.00044958,             0.00044958
                     42,                 1.0052,                0.80785,                 1.0208,                0.94213,                0.89482,                0.94424,                0.64297,                  1.059,                0.79363,                  1.006,             0.00044956,             0.00044956,             0.00044956
                     43,                 1.0023,                0.80576,                 1.0218,                0.94862,                0.89118,                0.94522,                0.64623,                 1.0536,                0.78809,                 1.0058,             0.00044954,             0.00044954,             0.00044954
                     44,                 1.0046,                0.80512,                 1.0223,                0.95312,                0.88318,                0.94446,                 0.6465,                 1.0424,                 0.7882,                 1.0013,             0.00044952,             0.00044952,             0.00044952
                     45,                 1.0043,                0.80396,                 1.0197,                0.95011,                0.88905,                0.94444,                0.64883,                 1.0416,                0.78352,                0.99878,             0.00044949,             0.00044949,             0.00044949
                     46,                 1.0009,                0.80384,                  1.022,                0.95681,                0.88271,                0.94445,                0.64356,                 1.0646,                0.79078,                 1.0064,             0.00044947,             0.00044947,             0.00044947
                     47,                 1.0025,                0.80326,                 1.0215,                0.94639,                0.89339,                0.94605,                0.64616,                 1.0489,                0.78567,                 1.0019,             0.00044944,             0.00044944,             0.00044944
                     48,                 1.0005,                0.80266,                 1.0192,                0.94955,                0.89005,                0.94565,                  0.649,                 1.0369,                 0.7797,                0.99957,             0.00044942,             0.00044942,             0.00044942
                     49,                 1.0034,                0.80143,                 1.0204,                0.94876,                0.89052,                0.94604,                0.64822,                 1.0447,                0.77982,                 1.0019,             0.00044939,             0.00044939,             0.00044939
                     50,                 1.0002,                0.79984,                 1.0204,                0.94938,                0.88602,                0.94298,                0.64417,                 1.0511,                0.78618,                 1.0045,             0.00044937,             0.00044937,             0.00044937
                     51,                 1.0026,                0.80241,                 1.0204,                0.95548,                0.88092,                0.94445,                0.64758,                 1.0423,                0.78534,                 1.0006,             0.00044934,             0.00044934,             0.00044934
                     52,                 1.0015,                0.80072,                 1.0207,                0.95636,                0.88111,                 0.9444,                0.64765,                 1.0448,                0.78678,                 1.0011,             0.00044931,             0.00044931,             0.00044931
                     53,                 1.0021,                0.80334,                 1.0199,                0.94567,                0.89257,                 0.9443,                0.64597,                 1.0501,                0.78412,                 1.0031,             0.00044929,             0.00044929,             0.00044929
                     54,                 1.0005,                0.80016,                 1.0198,                0.94639,                0.88844,                0.94401,                0.64453,                 1.0515,                 0.7839,                 1.0031,             0.00044926,             0.00044926,             0.00044926
                     55,                0.99884,                0.79958,                 1.0181,                0.94547,                0.89045,                0.94591,                0.64801,                 1.0407,                0.77887,                0.99958,             0.00044923,             0.00044923,             0.00044923
                     56,                 1.0009,                0.79898,                 1.0216,                0.95127,                0.88614,                0.94462,                0.64832,                 1.0445,                0.78017,                 1.0014,              0.0004492,              0.0004492,              0.0004492
                     57,                 1.0013,                0.80045,                 1.0203,                0.95118,                0.88592,                0.94498,                0.65051,                 1.0411,                0.78039,                 1.0002,             0.00044917,             0.00044917,             0.00044917
                     58,                 1.0003,                0.79789,                 1.0195,                0.94827,                0.88931,                0.94544,                0.64624,                 1.0524,                  0.784,                 1.0041,             0.00044914,             0.00044914,             0.00044914
                     59,                 1.0024,                0.79757,                  1.023,                0.94911,                0.88705,                0.94441,                0.64733,                 1.0476,                 0.7799,                 1.0044,             0.00044911,             0.00044911,             0.00044911
                     60,                0.99828,                0.79727,                 1.0172,                0.94741,                0.89218,                0.94524,                0.64672,                 1.0502,                0.78322,                 1.0039,             0.00044908,             0.00044908,             0.00044908
                     61,                0.99624,                0.79966,                 1.0177,                0.95705,                0.88961,                0.94694,                0.64434,                 1.0615,                0.78491,                 1.0073,             0.00044904,             0.00044904,             0.00044904
                     62,                 1.0003,                0.80081,                 1.0205,                0.95347,                0.88629,                0.94447,                0.64661,                 1.0499,                0.78395,                 1.0045,             0.00044901,             0.00044901,             0.00044901
                     63,                0.99639,                0.79583,                 1.0166,                0.95181,                0.88617,                0.94574,                 0.6464,                 1.0474,                0.78285,                 1.0032,             0.00044898,             0.00044898,             0.00044898
                     64,                0.99989,                0.79619,                 1.0205,                0.94831,                0.88855,                0.94461,                 0.6444,                 1.0528,                0.78026,                 1.0053,             0.00044894,             0.00044894,             0.00044894
                     65,                0.99663,                0.79669,                 1.0196,                0.94408,                0.88912,                0.94407,                0.64482,                 1.0568,                0.78436,                 1.0068,             0.00044891,             0.00044891,             0.00044891
