                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2998,                 1.0021,                0.97417,                 0.7666,                0.64722,                0.70743,                0.37985,                 1.6781,                 1.4395,                 1.0983,               0.066964,             0.00014933,             0.00014933
                      2,                  1.196,                0.85487,                 0.9241,                0.89513,                 0.7895,                0.87235,                  0.543,                 1.3195,                0.90982,                0.93174,               0.033781,             0.00029933,             0.00029933
                      3,                 1.1357,                 0.7827,                0.89883,                0.91596,                0.84362,                0.91259,                0.59295,                 1.2236,                0.78033,                0.90136,             0.00059746,             0.00044932,             0.00044932
                      4,                 1.1057,                0.74731,                0.88971,                0.92688,                0.85378,                0.91715,                0.60643,                 1.1906,                0.75581,                0.88987,             0.00044996,             0.00044996,             0.00044996
                      5,                 1.1011,                0.74315,                0.88436,                0.91504,                0.84493,                0.91289,                0.59775,                 1.2044,                0.76896,                0.89365,             0.00044996,             0.00044996,             0.00044996
                      6,                 1.0921,                0.73003,                0.88161,                0.91832,                0.85249,                0.91873,                0.61394,                 1.1503,                 0.7493,                 0.8801,             0.00044993,             0.00044993,             0.00044993
                      7,                 1.0765,                0.71506,                 0.8792,                0.92201,                0.86089,                 0.9252,                0.60986,                 1.1861,                0.74236,                 0.8882,             0.00044989,             0.00044989,             0.00044989
                      8,                 1.0779,                0.71422,                0.87651,                0.92307,                0.85838,                0.92327,                0.61816,                 1.1546,                0.73462,                0.88137,             0.00044984,             0.00044984,             0.00044984
                      9,                 1.0719,                0.70809,                0.87396,                0.92061,                0.86311,                0.92594,                0.61771,                 1.1614,                 0.7329,                 0.8808,             0.00044978,             0.00044978,             0.00044978
                     10,                 1.0654,                 0.7035,                0.87332,                0.91778,                 0.8601,                0.92298,                0.61862,                 1.1466,                0.73394,                0.87934,             0.00044972,             0.00044972,             0.00044972
                     11,                 1.0656,                0.70077,                0.87319,                0.91882,                   0.87,                  0.929,                0.62528,                 1.1404,                0.71986,                0.87445,             0.00044964,             0.00044964,             0.00044964
                     12,                 1.0635,                0.69781,                 0.8707,                0.91923,                0.86352,                0.92541,                0.61262,                 1.1788,                 0.7407,                0.88647,             0.00044956,             0.00044956,             0.00044956
                     13,                 1.0572,                0.69668,                0.86913,                0.92438,                0.86523,                0.92713,                 0.6119,                 1.1775,                0.73484,                0.88504,             0.00044947,             0.00044947,             0.00044947
                     14,                 1.0533,                0.69145,                0.86765,                0.92334,                0.86585,                0.92709,                0.61922,                  1.156,                0.73126,                0.87939,             0.00044937,             0.00044937,             0.00044937
                     15,                 1.0471,                0.68408,                0.86618,                 0.9273,                0.86362,                0.92762,                 0.6225,                 1.1431,                0.72197,                0.87579,             0.00044926,             0.00044926,             0.00044926
                     16,                 1.0455,                0.68517,                0.86563,                0.93111,                0.86783,                0.93163,                0.62777,                 1.1273,                0.70835,                0.87205,             0.00044914,             0.00044914,             0.00044914
                     17,                 1.0462,                0.68278,                0.86529,                0.92238,                 0.8745,                0.92965,                0.62069,                 1.1568,                 0.7241,                0.88003,             0.00044901,             0.00044901,             0.00044901
                     18,                 1.0376,                0.67673,                0.86363,                0.91901,                0.86936,                0.92695,                0.62062,                 1.1511,                0.71947,                0.87886,             0.00044888,             0.00044888,             0.00044888
                     19,                 1.0395,                0.67921,                 0.8614,                0.92335,                0.87331,                0.93028,                0.62599,                 1.1433,                0.71598,                0.87531,             0.00044873,             0.00044873,             0.00044873
                     20,                 1.0428,                0.68013,                0.86365,                0.92133,                0.87379,                0.93162,                0.62727,                 1.1351,                0.70793,                0.87402,             0.00044858,             0.00044858,             0.00044858
                     21,                 1.0397,                0.67822,                0.86214,                0.92285,                0.86717,                0.92967,                 0.6229,                 1.1428,                0.72012,                0.87682,             0.00044841,             0.00044841,             0.00044841
                     22,                 1.0302,                0.66905,                0.86171,                0.92379,                  0.873,                0.93225,                0.63049,                 1.1299,                 0.7095,                0.87213,             0.00044824,             0.00044824,             0.00044824
                     23,                 1.0246,                0.66801,                0.85927,                0.92401,                0.87163,                0.92915,                0.62271,                 1.1448,                0.71834,                0.87745,             0.00044806,             0.00044806,             0.00044806
                     24,                 1.0302,                0.66986,                0.86019,                0.93172,                0.86943,                0.93289,                0.63198,                 1.1223,                0.70476,                0.87045,             0.00044788,             0.00044788,             0.00044788
                     25,                 1.0214,                0.66313,                0.85853,                0.93791,                0.86508,                0.93214,                 0.6229,                 1.1534,                0.71356,                0.87862,             0.00044768,             0.00044768,             0.00044768
                     26,                 1.0269,                0.66779,                0.85831,                0.93327,                0.87018,                0.93295,                0.62711,                 1.1413,                0.70784,                0.87437,             0.00044747,             0.00044747,             0.00044747
                     27,                 1.0234,                0.66563,                0.85752,                0.92747,                0.87591,                0.93362,                0.62576,                 1.1513,                0.70867,                0.87597,             0.00044726,             0.00044726,             0.00044726
                     28,                 1.0204,                0.66284,                0.85586,                0.92766,                0.87183,                0.93096,                0.62259,                 1.1535,                0.71838,                0.88048,             0.00044703,             0.00044703,             0.00044703
                     29,                 1.0196,                0.66037,                0.85512,                0.92923,                0.87274,                0.93312,                0.62458,                 1.1489,                0.70974,                0.87641,              0.0004468,              0.0004468,              0.0004468
                     30,                 1.0171,                0.65723,                0.85544,                0.92929,                0.87612,                0.93435,                0.63036,                 1.1311,                 0.6974,                0.87253,             0.00044656,             0.00044656,             0.00044656
                     31,                 1.0147,                0.65771,                0.85481,                0.92525,                 0.8801,                0.93307,                0.62948,                 1.1332,                0.69941,                0.87264,             0.00044631,             0.00044631,             0.00044631
                     32,                 1.0147,                0.65898,                0.85348,                0.93333,                0.87981,                0.93672,                0.63738,                 1.1097,                0.68868,                0.86655,             0.00044605,             0.00044605,             0.00044605
                     33,                 1.0145,                0.65734,                0.85238,                0.93201,                 0.8783,                0.93587,                0.63693,                 1.1112,                0.69454,                0.86746,             0.00044579,             0.00044579,             0.00044579
                     34,                 1.0149,                0.65565,                0.85595,                0.93455,                0.87477,                 0.9329,                0.62482,                 1.1528,                0.70266,                0.87679,             0.00044551,             0.00044551,             0.00044551
                     35,                 1.0143,                0.65693,                0.85226,                0.93117,                0.87879,                0.93587,                0.63427,                 1.1205,                0.69057,                0.86868,             0.00044523,             0.00044523,             0.00044523
                     36,                 1.0106,                 0.6551,                0.85283,                0.92856,                0.87427,                0.93494,                0.63085,                 1.1256,                0.69988,                0.87109,             0.00044494,             0.00044494,             0.00044494
                     37,                 1.0143,                0.65571,                0.85238,                0.93179,                0.87787,                0.93464,                0.63165,                 1.1334,                0.69629,                0.87223,             0.00044464,             0.00044464,             0.00044464
                     38,                 1.0111,                0.65409,                0.85335,                0.93264,                0.87452,                0.93551,                0.63103,                 1.1334,                0.69822,                0.87255,             0.00044433,             0.00044433,             0.00044433
                     39,                 1.0068,                0.65107,                0.85111,                0.94117,                0.87366,                0.93609,                0.63713,                 1.1117,                0.68755,                0.86624,             0.00044401,             0.00044401,             0.00044401
                     40,                 1.0076,                0.65053,                0.85062,                0.93042,                0.87822,                0.93654,                0.63334,                 1.1318,                0.69245,                0.87182,             0.00044368,             0.00044368,             0.00044368
                     41,                 1.0027,                0.64684,                0.84829,                0.93366,                 0.8771,                 0.9354,                0.63034,                 1.1372,                0.69891,                0.87324,             0.00044335,             0.00044335,             0.00044335
                     42,                 1.0012,                0.64444,                0.85132,                0.92966,                0.88332,                0.93723,                0.63447,                 1.1288,                0.69248,                0.86992,               0.000443,               0.000443,               0.000443
                     43,                 1.0053,                0.64775,                0.85042,                0.93169,                0.88039,                0.93807,                0.63509,                 1.1249,                0.68894,                0.86957,             0.00044265,             0.00044265,             0.00044265
                     44,                0.99752,                0.64304,                0.84888,                0.93291,                0.88067,                0.93796,                0.63797,                 1.1187,                0.68717,                0.86837,             0.00044229,             0.00044229,             0.00044229
                     45,                 0.9981,                0.64529,                0.84703,                0.92806,                0.88005,                0.93745,                  0.636,                 1.1152,                0.69429,                0.86762,             0.00044192,             0.00044192,             0.00044192
                     46,                0.99938,                0.64446,                0.84839,                0.93143,                0.87974,                0.93823,                0.63833,                 1.1021,                0.68527,                0.86479,             0.00044154,             0.00044154,             0.00044154
                     47,                 0.9965,                0.64271,                  0.848,                0.93891,                0.87515,                0.93719,                0.63546,                 1.1258,                0.69076,                0.86946,             0.00044116,             0.00044116,             0.00044116
                     48,                0.99568,                0.64186,                0.84678,                  0.933,                0.88036,                0.93792,                0.63837,                 1.1098,                0.68297,                0.86724,             0.00044076,             0.00044076,             0.00044076
                     49,                0.99591,                0.64084,                0.84762,                 0.9345,                0.88047,                0.93708,                0.63922,                 1.1042,                0.68063,                 0.8646,             0.00044036,             0.00044036,             0.00044036
                     50,                0.99189,                0.63683,                0.84783,                0.93141,                0.88436,                0.93756,                 0.6381,                 1.1177,                0.68434,                0.86704,             0.00043995,             0.00043995,             0.00043995
                     51,                0.98989,                0.63506,                0.84528,                0.93387,                0.88421,                0.93867,                0.63839,                 1.1115,                0.68041,                0.86648,             0.00043953,             0.00043953,             0.00043953
                     52,                0.99051,                0.63773,                0.84576,                0.93756,                0.88099,                0.93913,                0.63653,                 1.1161,                0.68498,                0.86765,              0.0004391,              0.0004391,              0.0004391
                     53,                 0.9909,                0.63796,                0.84509,                0.93454,                0.87853,                0.93664,                0.63411,                 1.1296,                0.68633,                 0.8707,             0.00043866,             0.00043866,             0.00043866
                     54,                0.98821,                0.63699,                0.84576,                0.93579,                0.88265,                0.93939,                0.63868,                  1.114,                0.68241,                0.86638,             0.00043822,             0.00043822,             0.00043822
                     55,                0.98543,                0.63383,                0.84606,                0.92894,                0.88855,                0.93983,                0.64197,                 1.1051,                0.67584,                0.86462,             0.00043776,             0.00043776,             0.00043776
                     56,                0.99316,                0.63849,                0.84597,                0.93232,                0.88927,                0.94095,                0.64093,                 1.1084,                 0.6757,                0.86513,              0.0004373,              0.0004373,              0.0004373
                     57,                0.98963,                0.63431,                0.84468,                 0.9375,                 0.8856,                 0.9402,                0.64159,                 1.1062,                0.67559,                0.86398,             0.00043683,             0.00043683,             0.00043683
                     58,                0.98875,                 0.6375,                0.84498,                0.93836,                0.88161,                0.93935,                0.63824,                 1.1212,                0.68414,                0.86737,             0.00043635,             0.00043635,             0.00043635
                     59,                0.98307,                0.63128,                0.84356,                 0.9384,                0.88197,                0.94098,                0.63859,                 1.1138,                0.68202,                0.86687,             0.00043587,             0.00043587,             0.00043587
                     60,                0.98235,                0.63156,                0.84447,                0.93732,                0.88309,                0.93941,                0.63887,                 1.1118,                0.67921,                0.86699,             0.00043537,             0.00043537,             0.00043537
                     61,                 0.9778,                0.62895,                 0.8429,                  0.935,                0.88785,                0.94129,                 0.6434,                 1.1033,                  0.672,                 0.8627,             0.00043487,             0.00043487,             0.00043487
                     62,                0.97911,                0.62741,                0.84325,                0.94021,                0.88628,                 0.9418,                0.64482,                 1.0998,                0.67058,                0.86209,             0.00043436,             0.00043436,             0.00043436
                     63,                0.98047,                0.63001,                0.84248,                0.93483,                0.88805,                0.93936,                0.63918,                 1.1183,                0.67736,                0.86694,             0.00043384,             0.00043384,             0.00043384
                     64,                0.97816,                0.62721,                0.84255,                0.93463,                0.88431,                0.93922,                0.64053,                 1.1068,                0.67601,                0.86319,             0.00043331,             0.00043331,             0.00043331
                     65,                0.97776,                0.62603,                0.84276,                0.93482,                 0.8885,                 0.9417,                0.64476,                 1.0957,                0.67023,                0.86162,             0.00043278,             0.00043278,             0.00043278
                     66,                  0.981,                0.62962,                0.84266,                0.92994,                0.89124,                 0.9409,                0.64305,                 1.0963,                0.67002,                0.86163,             0.00043223,             0.00043223,             0.00043223
                     67,                0.97596,                0.62639,                0.84032,                0.93247,                 0.8862,                0.93929,                0.63862,                 1.1149,                0.67906,                0.86656,             0.00043168,             0.00043168,             0.00043168
                     68,                0.97766,                0.62803,                0.84135,                0.93178,                0.88753,                0.94027,                0.64302,                 1.1075,                0.67304,                0.86373,             0.00043112,             0.00043112,             0.00043112
                     69,                0.97497,                0.62673,                0.84156,                0.93114,                0.89032,                0.94159,                 0.6421,                 1.1102,                0.67364,                0.86462,             0.00043055,             0.00043055,             0.00043055
                     70,                0.97514,                0.62725,                0.83975,                0.93593,                0.88127,                0.94068,                0.64355,                 1.1004,                0.67305,                0.86155,             0.00042998,             0.00042998,             0.00042998
                     71,                0.97145,                0.62422,                0.84027,                0.93492,                0.88301,                0.94061,                0.64234,                 1.1076,                0.67109,                0.86467,             0.00042939,             0.00042939,             0.00042939
                     72,                0.97337,                 0.6243,                0.84186,                0.92831,                0.88821,                0.94126,                0.64404,                 1.1028,                0.67026,                0.86313,              0.0004288,              0.0004288,              0.0004288
                     73,                0.97315,                0.62178,                0.84144,                0.93224,                  0.887,                0.94172,                0.64295,                 1.1026,                0.67174,                0.86306,              0.0004282,              0.0004282,              0.0004282
                     74,                 0.9739,                0.62433,                0.83973,                0.93036,                0.89211,                0.94196,                0.64335,                 1.1014,                0.66942,                0.86195,             0.00042759,             0.00042759,             0.00042759
                     75,                0.97128,                0.62364,                 0.8388,                0.93082,                0.89164,                0.94291,                 0.6464,                 1.0978,                 0.6691,                0.86073,             0.00042698,             0.00042698,             0.00042698
                     76,                 0.9736,                0.62286,                0.84056,                0.93414,                0.89309,                0.94287,                0.64619,                 1.0971,                0.66519,                0.86113,             0.00042635,             0.00042635,             0.00042635
                     77,                0.96619,                0.62002,                0.83953,                0.93158,                0.89114,                0.94213,                 0.6446,                 1.1032,                0.67001,                0.86341,             0.00042572,             0.00042572,             0.00042572
                     78,                0.97365,                0.62546,                0.84001,                0.93043,                0.89235,                0.94274,                0.64693,                 1.0959,                0.66621,                0.86081,             0.00042508,             0.00042508,             0.00042508
                     79,                0.96679,                0.62127,                0.83824,                0.93391,                0.89373,                0.94356,                0.64849,                 1.0906,                0.66215,                0.85924,             0.00042444,             0.00042444,             0.00042444
                     80,                0.96859,                0.62079,                0.83968,                0.93228,                 0.8922,                0.94409,                0.64733,                  1.095,                 0.6639,                0.86086,             0.00042378,             0.00042378,             0.00042378
                     81,                0.96472,                0.61734,                0.83898,                0.93671,                0.88744,                 0.9438,                0.64844,                 1.0943,                0.66262,                 0.8603,             0.00042312,             0.00042312,             0.00042312
                     82,                 0.9658,                0.61788,                0.83815,                0.93551,                0.88653,                0.94209,                0.64637,                 1.0944,                0.66471,                 0.8603,             0.00042245,             0.00042245,             0.00042245
                     83,                0.97016,                0.62107,                0.83845,                0.93155,                0.89092,                0.94161,                0.64608,                 1.0968,                0.66731,                0.86086,             0.00042177,             0.00042177,             0.00042177
                     84,                0.96635,                0.61852,                0.83735,                0.93722,                0.88884,                0.94324,                0.64734,                 1.0953,                0.66344,                0.85968,             0.00042108,             0.00042108,             0.00042108
                     85,                0.96256,                0.61813,                0.83643,                0.94027,                0.88652,                0.94237,                0.64694,                 1.0957,                0.66445,                0.85978,             0.00042039,             0.00042039,             0.00042039
                     86,                0.96051,                0.61522,                0.83622,                0.93901,                0.88692,                0.94279,                0.64717,                 1.0962,                0.66329,                0.86013,             0.00041969,             0.00041969,             0.00041969
                     87,                 0.9612,                0.61686,                0.83544,                0.94268,                 0.8854,                0.94338,                0.64856,                 1.0909,                0.66098,                0.85856,             0.00041898,             0.00041898,             0.00041898
                     88,                0.96472,                0.61734,                0.83627,                0.94232,                0.88733,                0.94327,                0.64874,                 1.0915,                0.66183,                0.85874,             0.00041826,             0.00041826,             0.00041826
