                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6172,                 6.0226,                 3.0972,                0.00228,                0.02298,                0.00586,                0.00133,                 4.2289,                 7.1443,                 3.0361,               0.067386,              0.0003128,              0.0003128
                      2,                 2.9718,                 4.2599,                 2.3878,                0.02416,                0.23713,                0.04685,                0.01111,                  3.596,                 5.0047,                 2.6696,               0.034369,             0.00062947,             0.00062947
                      3,                  2.498,                 3.5498,                 2.0462,                0.38719,                0.16184,                0.17025,                0.06674,                 2.7325,                 4.0331,                 2.0135,              0.0013526,             0.00094614,             0.00094614
                      4,                 2.2881,                 3.1453,                 1.8756,                0.33302,                0.26702,                0.23214,                 0.0766,                 2.6703,                 3.0882,                 1.9895,             0.00094999,             0.00094999,             0.00094999
                      5,                  2.157,                  2.857,                 1.7822,                0.35818,                0.28022,                0.27151,                0.08943,                 2.6678,                 3.1227,                 1.9309,             0.00094999,             0.00094999,             0.00094999
                      6,                 2.0822,                 2.6743,                 1.7218,                0.42987,                0.31806,                0.30771,                0.11935,                 2.4091,                  2.981,                 1.7865,             0.00094999,             0.00094999,             0.00094999
                      7,                 2.0194,                 2.5253,                 1.6695,                0.50969,                0.35684,                0.37317,                0.12794,                  2.421,                 2.5476,                 1.7708,             0.00094999,             0.00094999,             0.00094999
                      8,                 1.9659,                 2.4015,                  1.634,                0.52079,                0.43288,                0.43924,                0.16173,                 2.3234,                 2.3149,                 1.6898,             0.00094998,             0.00094998,             0.00094998
                      9,                 1.9163,                 2.2931,                 1.5992,                0.57245,                0.47533,                0.50096,                0.23481,                 1.9406,                 2.1005,                  1.471,             0.00094997,             0.00094997,             0.00094997
                     10,                  1.882,                 2.2119,                 1.5784,                0.57331,                0.49177,                0.50611,                0.20829,                 2.0953,                 2.0926,                 1.5451,             0.00094996,             0.00094996,             0.00094996
                     11,                 1.8445,                 2.1229,                 1.5466,                0.61568,                0.50451,                0.54266,                 0.2353,                 2.0424,                 2.0213,                 1.5319,             0.00094995,             0.00094995,             0.00094995
                     12,                 1.8277,                 2.0583,                 1.5312,                0.61422,                0.51795,                0.55235,                0.25612,                 1.9312,                 1.9537,                 1.4674,             0.00094994,             0.00094994,             0.00094994
                     13,                 1.8046,                 1.9971,                 1.5199,                0.62922,                 0.5331,                0.57344,                0.26478,                 1.9107,                 1.8912,                 1.4472,             0.00094993,             0.00094993,             0.00094993
                     14,                 1.7784,                 1.9541,                 1.4986,                0.63137,                0.54982,                0.58423,                0.25548,                 2.0095,                 1.8675,                 1.5047,             0.00094992,             0.00094992,             0.00094992
                     15,                 1.7623,                   1.91,                 1.4841,                0.66712,                0.56435,                0.60712,                0.27856,                 1.9081,                 1.7808,                 1.4369,              0.0009499,              0.0009499,              0.0009499
                     16,                 1.7497,                 1.8664,                 1.4764,                0.69011,                0.57066,                0.61991,                0.31406,                 1.7125,                  1.718,                 1.3402,             0.00094989,             0.00094989,             0.00094989
                     17,                 1.7243,                 1.8179,                 1.4608,                0.73534,                0.56249,                 0.6359,                0.30317,                 1.8239,                 1.7248,                 1.3864,             0.00094987,             0.00094987,             0.00094987
                     18,                 1.7051,                 1.7939,                 1.4465,                0.69582,                0.59571,                 0.6456,                0.30944,                 1.8179,                  1.656,                 1.3743,             0.00094985,             0.00094985,             0.00094985
                     19,                 1.6944,                 1.7632,                  1.441,                0.71676,                0.59097,                0.64699,                0.29963,                 1.8158,                 1.6464,                 1.3808,             0.00094983,             0.00094983,             0.00094983
                     20,                 1.6772,                 1.7252,                 1.4314,                0.72295,                0.58509,                0.64895,                0.30521,                 1.8589,                 1.6942,                 1.4049,             0.00094981,             0.00094981,             0.00094981
                     21,                 1.6642,                 1.7023,                 1.4177,                  0.726,                0.59096,                0.65622,                0.31982,                 1.7533,                 1.6259,                  1.355,             0.00094979,             0.00094979,             0.00094979
                     22,                 1.6516,                 1.6751,                 1.4141,                0.72925,                0.59525,                 0.6586,                  0.283,                 1.9766,                 1.6794,                 1.4591,             0.00094977,             0.00094977,             0.00094977
                     23,                 1.6416,                 1.6583,                  1.407,                0.74739,                0.63547,                0.69254,                0.33092,                 1.7521,                 1.5354,                 1.3475,             0.00094974,             0.00094974,             0.00094974
                     24,                  1.629,                 1.6206,                 1.3965,                0.74171,                0.62788,                0.69136,                0.33284,                 1.7546,                 1.5265,                  1.337,             0.00094972,             0.00094972,             0.00094972
                     25,                 1.6157,                 1.6065,                 1.3916,                0.71564,                0.61728,                0.66874,                0.30533,                 1.8767,                 1.6038,                  1.401,             0.00094969,             0.00094969,             0.00094969
                     26,                 1.6079,                 1.5913,                 1.3802,                0.74236,                0.63405,                0.69196,                0.32187,                 1.7962,                 1.5487,                 1.3767,             0.00094967,             0.00094967,             0.00094967
                     27,                 1.6023,                 1.5776,                 1.3821,                0.74784,                0.64555,                0.70685,                0.35511,                 1.6808,                 1.4986,                 1.3143,             0.00094964,             0.00094964,             0.00094964
                     28,                 1.5862,                 1.5526,                 1.3666,                0.77497,                0.65735,                0.72706,                0.38179,                 1.5785,                 1.4417,                 1.2585,             0.00094961,             0.00094961,             0.00094961
                     29,                 1.5825,                 1.5352,                 1.3653,                0.76699,                0.65343,                0.72019,                0.35905,                 1.6861,                 1.4359,                  1.303,             0.00094958,             0.00094958,             0.00094958
                     30,                 1.5643,                 1.5091,                 1.3594,                0.76774,                0.64161,                  0.721,                0.37385,                 1.6148,                 1.4221,                 1.2748,             0.00094955,             0.00094955,             0.00094955
                     31,                 1.5636,                 1.5013,                  1.355,                0.77131,                0.66131,                  0.723,                 0.3742,                 1.6136,                 1.4036,                 1.2766,             0.00094951,             0.00094951,             0.00094951
                     32,                  1.556,                 1.4875,                 1.3483,                0.78325,                0.66902,                0.73872,                  0.382,                 1.6346,                 1.3858,                 1.2799,             0.00094948,             0.00094948,             0.00094948
                     33,                 1.5518,                 1.4748,                 1.3434,                0.77394,                0.67681,                0.74068,                0.38758,                 1.6018,                 1.3716,                 1.2639,             0.00094944,             0.00094944,             0.00094944
                     34,                 1.5402,                 1.4542,                 1.3433,                0.76728,                0.67217,                0.73094,                0.34301,                 1.7962,                 1.4216,                 1.3497,             0.00094941,             0.00094941,             0.00094941
                     35,                 1.5387,                 1.4515,                 1.3407,                0.78989,                0.68925,                0.75311,                0.39623,                 1.5785,                 1.3236,                 1.2517,             0.00094937,             0.00094937,             0.00094937
                     36,                 1.5353,                 1.4421,                 1.3332,                0.78605,                0.68845,                0.74492,                0.36828,                  1.713,                 1.3594,                 1.3076,             0.00094933,             0.00094933,             0.00094933
                     37,                 1.5247,                  1.422,                 1.3253,                 0.7945,                 0.6946,                0.76397,                0.40677,                 1.5561,                 1.2997,                 1.2395,             0.00094929,             0.00094929,             0.00094929
                     38,                 1.5216,                 1.4214,                 1.3241,                0.81119,                0.68377,                0.75826,                0.39341,                 1.6201,                 1.3343,                 1.2666,             0.00094925,             0.00094925,             0.00094925
                     39,                 1.5073,                 1.3998,                 1.3196,                0.79623,                0.70265,                0.76261,                0.38487,                 1.6518,                 1.3312,                  1.282,             0.00094921,             0.00094921,             0.00094921
                     40,                 1.5075,                 1.3898,                 1.3154,                0.78669,                0.70669,                 0.7618,                0.42045,                 1.5014,                 1.2865,                 1.2155,             0.00094916,             0.00094916,             0.00094916
                     41,                 1.4968,                 1.3802,                 1.3111,                0.79874,                0.70645,                0.76027,                0.40121,                 1.5746,                 1.2987,                 1.2493,             0.00094912,             0.00094912,             0.00094912
                     42,                 1.4957,                 1.3691,                 1.3091,                0.81272,                  0.719,                0.77805,                0.40202,                 1.6204,                 1.2894,                 1.2624,             0.00094907,             0.00094907,             0.00094907
                     43,                 1.4922,                  1.363,                 1.3075,                0.80571,                 0.7101,                0.77035,                0.40948,                 1.5904,                 1.2705,                   1.25,             0.00094903,             0.00094903,             0.00094903
                     44,                 1.4858,                 1.3547,                 1.3057,                0.80015,                0.70679,                0.77182,                  0.413,                 1.5525,                 1.2719,                 1.2309,             0.00094898,             0.00094898,             0.00094898
                     45,                 1.4788,                 1.3472,                 1.2947,                0.82269,                0.71138,                0.78064,                0.43259,                 1.4767,                 1.2368,                 1.2011,             0.00094893,             0.00094893,             0.00094893
                     46,                 1.4764,                 1.3377,                 1.2977,                0.81072,                0.72088,                0.78216,                0.42262,                 1.5414,                 1.2405,                 1.2232,             0.00094888,             0.00094888,             0.00094888
                     47,                 1.4726,                 1.3309,                 1.2977,                 0.8115,                0.71708,                0.78016,                 0.3973,                 1.6492,                 1.2653,                 1.2687,             0.00094883,             0.00094883,             0.00094883
                     48,                 1.4695,                 1.3217,                 1.2902,                0.81981,                0.73029,                0.78992,                0.43731,                 1.4895,                 1.2251,                 1.2063,             0.00094877,             0.00094877,             0.00094877
                     49,                 1.4641,                 1.3171,                 1.2857,                 0.8244,                0.71855,                0.78784,                0.42571,                 1.5357,                 1.2239,                 1.2191,             0.00094872,             0.00094872,             0.00094872
                     50,                  1.457,                 1.3105,                 1.2842,                0.83375,                0.72128,                 0.7966,                 0.4309,                 1.5268,                 1.2162,                 1.2167,             0.00094866,             0.00094866,             0.00094866
                     51,                 1.4512,                 1.3038,                 1.2773,                0.82794,                0.72682,                0.79415,                0.42922,                 1.5137,                 1.2053,                  1.208,             0.00094861,             0.00094861,             0.00094861
                     52,                 1.4487,                 1.2943,                 1.2783,                0.83874,                0.71859,                0.79805,                0.44035,                 1.4922,                 1.1903,                 1.1998,             0.00094855,             0.00094855,             0.00094855
